author;comment;likeCount;publishedAt
@qalbunsaliim;OMON OMON tak berani pecat tito   ;0;2025-06-18T09:25:28Z
@AhmadBaehaqi-l8g;pecat tito;1;2025-06-18T09:00:05Z
@SulistyowatiSatimoen;kami dukung aceh;2;2025-06-18T07:11:15Z
@TuminSimorangkir;Damai sejahtera aceh;0;2025-06-18T05:25:06Z
@JonoWidodo-cf3jl;Pak persiden   seharusnya tegas  masalah ijazah jokowi   rakyat jangan di buat gaduh   terus   pk prabowo jadi persiden bukan dari jokowi dan antek2 nya   pk prabowo jadi persiden  karna di pilih rakyat ;0;2025-06-18T04:50:52Z
@MuhHapiz-jm1eh;KAMI DARI LOMBOK MENDUKUNG PENUH SAUDARA2 ACEH UNTUK MEMPERTAHANKAN 4 PULAU DEMI HARGA DIRI MASYARAKAT ACEH ;1;2025-06-18T04:24:54Z
@SapuLidi-y9z;Kami mastaraka melihat sangat jelas prabowo tidak memiliki taji  sebagai presidem liat itu tito karnafian menterinya jokiwi seejaknya bagi wilayah indonesia sementara praboqo tida berani bertinda takut jkowi lengser kan saja praboqo rakyat suka pbeneran;0;2025-06-18T04:01:12Z
@EyangKustinj;Saya orang jawa dukung aceh;0;2025-06-18T03:26:25Z
@SamsungA05s-x9r;kalau presiden melindungi  kuroptor tangkap sja presedin menyusahkn rakyat;0;2025-06-18T01:57:15Z
@alfahriramadhan533;Trimakasih bnyak antusias sudah mendukung Aceh;1;2025-06-18T00:29:00Z
@alatifabuwidya3292;Sekalian sengketa ijaza jokowi ambil alih juga;0;2025-06-17T23:36:00Z
@MuhammadAdamSaputra-v1c;Satu negara aja dah pada ribut  karna kepala daerah nya ga ada saling silahturahmi Rahmi main sok sok an  Ã°Å¸Â¤ÂªÃ°Å¸Â¤Âª;0;2025-06-17T21:16:56Z
@endahbn1565;Prabowo kembalikan 4 pulau ke Aceh  Ganti Tito Karnavian  Jaga keutuhan NKRI;1;2025-06-17T19:04:07Z
@satpambikers;Kisruh ini menutupi kasus raja ampat   ;;
@dederahmat1931;Saya orang jabar kuningan  saya mendukung aceh jangan sampe di ambil mulyono bahaya;0;2025-06-17T15:47:45Z
@RyanSyah-b8y;pecat tito karna dia yg membuat kegaduhan;0;2025-06-17T15:35:19Z
@warsantaupiq8087;Harus nya gibran yg menangani mslah pulau    ;0;2025-06-17T15:33:06Z
@DZF2-mr9ic;pecat tito & Bobby ;0;2025-06-17T14:45:15Z
@mudrikarso;pecat Tito orang beradalah;0;2025-06-17T14:18:47Z
@sukadesign5976;Almarhum GUSDUR yang fham ACEH    makanya ACEH menjadi daerah ISTIMEWA  Jangan usik ACEH  krn Aceh udah tenang dan damai sebagai daerah ISTIMEWA     copot semua pejabat yang melanggar perdamaian  termasuk mendagri titipan joko hehehehehe karena selama ini menjadi PERUSAK MORAL bangsa;0;2025-06-17T14:08:12Z
@roseningsih3312;dukung sumut;;
@WijayaSaputra-y2d;Pecat tito dari jabatannya bikin ricuh saja;1;2025-06-17T13:36:41Z
@YaraJm-f2l;dukung aceh;0;2025-06-17T12:40:42Z
@KetutSuardika-et3py;Mendagri memang membikin huru hara layak sekali di pecat;0;2025-06-17T11:45:49Z
@KetutSuardika-et3py;pecat mendagri ;1;2025-06-17T11:43:23Z
@YongkyDewangga;pecat tito dan dihukum seumur hidup karena telah membuat kekacauan dan mengadu domba antara rakyat Aceh dg rakyat Sumatra Utara  Dan Bobby Nasution harus dimakzulkan  Saya warga Nusakambangan mendukung Aceh utk mempertahankan 4 pulau:  lipan panjang mangkir gadang dan mangkir ketek;1;2025-06-17T10:28:10Z
@yudrivobratapramono1449;Mntri2 skrg knoa gk pd bisa krja ya  Smua hrus bpk prabowo yg mnyelesaikan;0;2025-06-17T10:17:52Z
@muhammadhasan5181;Pecat menteri dalam negeri  selesai urusan nya ;1;2025-06-17T10:13:19Z
@fachryilona9879;Kami orang jakarta ada apa dgn si boby ko meribut kan 4 pulau  apa ada kepentingan ky mertuanya  jokowi  walaupun bgi mana ini pulau yg ada di aceh  jadi jangan membuat gaduh        ;0;2025-06-17T10:12:04Z
@slametchasmuri9300;Saya warga Jakarta dukung Aceh Ã°Å¸â€™Âª;1;2025-06-17T10:12:03Z
@MaulizaSaputri;Ke 4 pulau itu milik Aceh dan tetap jadi milik aceh walaupun harus angkat senjata ;0;2025-06-17T09:40:59Z
@suwatrilhafni2829;Alhamdulillaah jgn biarkan saling caplok pak;0;2025-06-17T09:39:36Z
@suryaputra9143;Mengelola bersama2 otak nya  duit  ujung2 nya merusak alam Ã°Å¸ËœÅ Ã°Å¸ËœÅ ;0;2025-06-17T09:27:58Z
@suryaputra9143;Loe aj yg bt masalah;0;2025-06-17T09:24:00Z
@rusdirus2920;Tito Karnavian harus di adili  karna telah membuat kegaduhan  ;1;2025-06-17T09:19:09Z
@fauzanpasaraceh3328;Wahai saudara2 sekalian jgn kita brteengkar yg hakikat nya itu bukan milik kita artinya semuanya milik AlllAH SWT  jgnlah megambil yg bukan milik kita! Atau mencaploknya! Kalau itu milik Aceh maka tetap menjadi milik Aceh! dan jka masalah ini tejadi konflik atau pertumpahan darah maka apa yg dikawatirkan? AlllAH akan turun tangan ! AlllAh akan  mengambil miliknya  AlllAH akan tenggelamkan apa yg diperbutkan itu! Nasehat( hikmah);0;2025-06-17T09:10:41Z
@rosliatan4721;Pertahankan hak2 Aceh   salam dari Malaysia;0;2025-06-17T08:45:24Z
@BudhiYogawardhana;apa susahnya   tinggal balikan aja ke aceh  jadikan kawasan lindung 4 pulau nya ga bisa di eksplorasi    ;0;2025-06-17T08:41:16Z
@Muros-u4w;Bagi 2 aja  aceh 2 sumut 2  ;0;2025-06-17T08:33:04Z
@SriKartini-x8y;Tito itu Mentri titipan kan  pantas aja tunggu apalagi pecat aja;1;2025-06-17T08:29:38Z
@keluargague-ch3vr;PEMIMPIN  ITU harus adil gk usah tanya2 Mendagri yg kerja jongos keluarga  4 pulau memang sdh hak milik Aceh ya kembalikan ke Aceh;0;2025-06-17T08:15:22Z
@Amboala-z6f;Koordinat itu oleh wamendagri selalu berubah sebab aceh juga pernah musibah sunami tentu wilayah pasti berubah  Bukti nyata rakyat diempat pulau itu adalah warga aceh ;0;2025-06-17T08:05:07Z
@Amboala-z6f;Aceh lebih awal didiami manusia dibanding medan dan hukum batas wilayah ada di belanda karena indonesia dijajah oleh belanda ;0;2025-06-17T07:59:58Z
@aidilmotovlog8455;Saya orang sumut mendukung aceh Sdah jelas dari dulu itu punya wilayah aceh knp di masukan ke sumut gda hak sumut atas ke empat pulau itu;0;2025-06-17T07:57:00Z
@PutriMelati-zf7cm;Namanya z pulau lipan ;;
@harisubagio2962;Hidup GAM libat nkri kalo sampe 4 pulau d ambil s kuyuk boby;0;2025-06-17T07:48:21Z
@setiomugianto9254;saya orang jateng  mendukung aceh;0;2025-06-17T07:47:45Z
@harisubagio2962;ni gara gara keluarga s joko bikin gaduh lagi pemgalihan issu ijasahnya;1;2025-06-17T07:47:15Z
@atfansuratan;Pertahankan wilayahmu Aceh saya mendukung aceh dan dipertahankan bukan berarti lepas atau pisah ingin merdeka dr nkri  Salam dr jatengÃ°Å¸â€˜ÂÃ°Å¸â„¢Â;0;2025-06-17T07:41:37Z
@GitacintaDarisma;Seperti biasa      Indonesia ini aneh   kebanyakan    !? Sinyal byar pet     putus - sambung tak ada tindakan dr Telkomsel     ;;
@Duryat-d6l;Pecat saja pk prabowo mentri yg suka adu domba  bikin gaduh;1;2025-06-17T07:18:08Z
@Duryat-d6l;Mentri kok sukanya mengadu domba  dari dulu pulau tsb milik Aceh;1;2025-06-17T07:17:02Z
@lutfiauuu;Kamu orang Sumbar  dukung rakyat aceh;1;2025-06-17T07:00:29Z
@fransardiansyah3595;Org Sumut dukung Aceh  ;;
@arbainlubis2254;Saya mendukung sumut dan boby;0;2025-06-17T06:55:52Z
@ZahirmanBalai;Ga kepentingan itu bohong ada maksut ambil4 pulau mau bikin tambang migas untung ajaakal busuk mendagri dan boby  rakyat indonesia udah tahu untung blok medan untuk bagun tambang keluarga mulyono;0;2025-06-17T06:55:50Z
